 128: 2.280968, 2.697221 avg loss, 0.000010 rate, 16.484740 seconds, 8192 images
 129: 4.238491, 2.851348 avg loss, 0.000011 rate, 16.410853 seconds, 8256 images
 130: 2.072512, 2.773464 avg loss, 0.000011 rate, 16.371440 seconds, 8320 images
 131: 2.341290, 2.730247 avg loss, 0.000012 rate, 10.447602 seconds, 8384 images
 132: 2.164713, 2.673693 avg loss, 0.000012 rate, 10.730605 seconds, 8448 images
 133: 2.497448, 2.656069 avg loss, 0.000012 rate, 10.867611 seconds, 8512 images
 134: 2.116605, 2.602123 avg loss, 0.000013 rate, 10.846788 seconds, 8576 images
 135: 1.441919, 2.486102 avg loss, 0.000013 rate, 10.815763 seconds, 8640 images
 136: 1.726973, 2.410189 avg loss, 0.000013 rate, 10.882552 seconds, 8704 images
 137: 2.000849, 2.369255 avg loss, 0.000014 rate, 10.871695 seconds, 8768 images
 138: 1.783535, 2.310683 avg loss, 0.000014 rate, 10.742166 seconds, 8832 images
 139: 1.773180, 2.256933 avg loss, 0.000015 rate, 10.716710 seconds, 8896 images
 140: 1.506032, 2.181843 avg loss, 0.000015 rate, 10.742343 seconds, 8960 images
 141: 1.577946, 2.121453 avg loss, 0.000015 rate, 13.696861 seconds, 9024 images
 142: 1.408289, 2.050137 avg loss, 0.000016 rate, 14.051063 seconds, 9088 images
 143: 1.837741, 2.028897 avg loss, 0.000016 rate, 14.200958 seconds, 9152 images
 144: 1.569301, 1.982937 avg loss, 0.000017 rate, 14.117601 seconds, 9216 images
 145: 3.500989, 2.134743 avg loss, 0.000017 rate, 14.252597 seconds, 9280 images
 146: 1.279209, 2.049189 avg loss, 0.000018 rate, 14.030362 seconds, 9344 images
 147: 1.574583, 2.001729 avg loss, 0.000018 rate, 14.006405 seconds, 9408 images
 148: 1.608988, 1.962455 avg loss, 0.000019 rate, 14.005472 seconds, 9472 images
 149: 1.712526, 1.937462 avg loss, 0.000019 rate, 14.080675 seconds, 9536 images
 150: 3.137091, 2.057425 avg loss, 0.000020 rate, 14.145821 seconds, 9600 images
 151: 2.134618, 2.065144 avg loss, 0.000020 rate, 18.096120 seconds, 9664 images
 152: 1.772707, 2.035900 avg loss, 0.000021 rate, 18.138223 seconds, 9728 images
 153: 1.421911, 1.974501 avg loss, 0.000021 rate, 18.034153 seconds, 9792 images
 154: 1.612169, 1.938268 avg loss, 0.000022 rate, 18.063406 seconds, 9856 images
 155: 1.909695, 1.935411 avg loss, 0.000023 rate, 18.184858 seconds, 9920 images
 156: 1.607907, 1.902660 avg loss, 0.000023 rate, 18.258934 seconds, 9984 images
 157: 2.323208, 1.944715 avg loss, 0.000024 rate, 18.277559 seconds, 10048 images
 158: 1.988052, 1.949049 avg loss, 0.000024 rate, 18.125317 seconds, 10112 images
 159: 1.585809, 1.912725 avg loss, 0.000025 rate, 18.053564 seconds, 10176 images
 160: 1.384874, 1.859940 avg loss, 0.000026 rate, 18.079671 seconds, 10240 images
 161: 1.881818, 1.862128 avg loss, 0.000026 rate, 10.527546 seconds, 10304 images
 162: 2.184453, 1.894360 avg loss, 0.000027 rate, 10.846384 seconds, 10368 images
 163: 1.810598, 1.885984 avg loss, 0.000028 rate, 10.887963 seconds, 10432 images
 164: 1.368191, 1.834205 avg loss, 0.000028 rate, 10.877832 seconds, 10496 images
 165: 2.405359, 1.891320 avg loss, 0.000029 rate, 10.821878 seconds, 10560 images
 166: 2.142624, 1.916451 avg loss, 0.000030 rate, 10.813904 seconds, 10624 images
 167: 1.920062, 1.916812 avg loss, 0.000030 rate, 10.764039 seconds, 10688 images
 168: 2.121446, 1.937275 avg loss, 0.000031 rate, 10.769997 seconds, 10752 images
 169: 1.362233, 1.879771 avg loss, 0.000032 rate, 10.789980 seconds, 10816 images
 170: 2.185769, 1.910371 avg loss, 0.000033 rate, 10.799844 seconds, 10880 images
 171: 1.675573, 1.886891 avg loss, 0.000033 rate, 10.608312 seconds, 10944 images
 172: 1.752912, 1.873493 avg loss, 0.000034 rate, 10.903099 seconds, 11008 images
 173: 1.508777, 1.837022 avg loss, 0.000035 rate, 10.827878 seconds, 11072 images
 174: 1.379005, 1.791220 avg loss, 0.000036 rate, 10.841054 seconds, 11136 images
 175: 1.512276, 1.763326 avg loss, 0.000037 rate, 10.742839 seconds, 11200 images
 176: 1.570383, 1.744031 avg loss, 0.000037 rate, 10.712690 seconds, 11264 images
 177: 2.070481, 1.776676 avg loss, 0.000038 rate, 10.738675 seconds, 11328 images
 178: 1.881037, 1.787112 avg loss, 0.000039 rate, 10.773675 seconds, 11392 images
 179: 1.357880, 1.744189 avg loss, 0.000040 rate, 10.828525 seconds, 11456 images
 180: 2.554373, 1.825208 avg loss, 0.000041 rate, 10.858195 seconds, 11520 images
 181: 1.409062, 1.783593 avg loss, 0.000042 rate, 7.561462 seconds, 11584 images
 182: 1.211106, 1.726344 avg loss, 0.000043 rate, 7.723165 seconds, 11648 images
 183: 2.013504, 1.755060 avg loss, 0.000044 rate, 7.795479 seconds, 11712 images
 184: 1.481392, 1.727693 avg loss, 0.000045 rate, 7.719166 seconds, 11776 images
 185: 1.788499, 1.733774 avg loss, 0.000046 rate, 7.710776 seconds, 11840 images
 186: 1.512672, 1.711664 avg loss, 0.000047 rate, 7.658596 seconds, 11904 images
 187: 1.738120, 1.714309 avg loss, 0.000048 rate, 7.662305 seconds, 11968 images
 188: 1.182632, 1.661142 avg loss, 0.000049 rate, 7.659347 seconds, 12032 images
 189: 1.329266, 1.627954 avg loss, 0.000050 rate, 7.651067 seconds, 12096 images
 190: 1.743535, 1.639512 avg loss, 0.000051 rate, 7.654461 seconds, 12160 images
 191: 1.205832, 1.596144 avg loss, 0.000052 rate, 10.617438 seconds, 12224 images
 192: 1.295449, 1.566074 avg loss, 0.000053 rate, 10.804601 seconds, 12288 images
 193: 1.284968, 1.537964 avg loss, 0.000054 rate, 10.783528 seconds, 12352 images
 194: 1.220961, 1.506263 avg loss, 0.000055 rate, 10.823446 seconds, 12416 images
 195: 1.840087, 1.539646 avg loss, 0.000056 rate, 10.875949 seconds, 12480 images
 196: 1.195052, 1.505186 avg loss, 0.000058 rate, 10.843257 seconds, 12544 images
 197: 1.580742, 1.512742 avg loss, 0.000059 rate, 10.779931 seconds, 12608 images
 198: 1.409074, 1.502375 avg loss, 0.000060 rate, 10.724098 seconds, 12672 images
 199: 1.495454, 1.501683 avg loss, 0.000061 rate, 10.712166 seconds, 12736 images
 200: 1.408198, 1.492334 avg loss, 0.000063 rate, 10.656703 seconds, 12800 images
